Feature,feature_importance_vals,Color,Manufacturer,Channel
COMESTIBLES TDP,-0.4252158972529049,#C9002B,COMESTIBLES,DTS
PEPSICO TDP Ratio,-0.07478410274695577,#C9002B,COMESTIBLES,DTS
RAMO TDP Ratio,0.030778100776543638,#005CB4,COMESTIBLES,DTS
RAMO TDP,0.14908807993045697,#005CB4,COMESTIBLES,DTS
PEPSICO TDP,0.32013381929291984,#005CB4,COMESTIBLES,DTS
OTROS TDP,-0.4083940941710186,#C9002B,COMESTIBLES,SUPERCADENAS
RAMO TDP,-0.03577290929398107,#C9002B,COMESTIBLES,SUPERCADENAS
YUPI TDP Ratio,-0.027685162077464576,#C9002B,COMESTIBLES,SUPERCADENAS
PEPSICO TDP Ratio,-0.02727350295746389,#C9002B,COMESTIBLES,SUPERCADENAS
OTROS TDP Ratio,0.11096682640947611,#005CB4,COMESTIBLES,SUPERCADENAS
PEPSICO TDP,0.11986203504994322,#005CB4,COMESTIBLES,SUPERCADENAS
YUPI TDP,0.2689785251452075,#005CB4,COMESTIBLES,SUPERCADENAS
COMESTIBLES PPU,-0.49995283897657583,#C9002B,COMESTIBLES,SUPERETES
OTROS PPU Ratio,0.011649576680137556,#005CB4,COMESTIBLES,SUPERETES
PEPSICO PPU,0.042169335930930286,#005CB4,COMESTIBLES,SUPERETES
OTROS PPU,0.44561570738247197,#005CB4,COMESTIBLES,SUPERETES
RAMO PPU Ratio,-0.027101840378811425,#C9002B,OTROS,DTS
Month,0.0037922494986872843,#005CB4,OTROS,DTS
RAMO TDP Ratio,0.01819268165221569,#005CB4,OTROS,DTS
COMESTIBLES PPU Ratio,0.04274142653342774,#005CB4,OTROS,DTS
YUPI TDP,0.19598171787300403,#005CB4,OTROS,DTS
YUPI PPU,0.2812887453737706,#005CB4,OTROS,DTS
PEPSICO PPU,0.4309013386900834,#005CB4,OTROS,DTS
RAMO PPU Ratio,-0.014676777663061575,#C9002B,OTROS,SUPERCADENAS
Month,0.005745866122668831,#005CB4,OTROS,SUPERCADENAS
COMESTIBLES TDP Ratio,0.131924949977081,#005CB4,OTROS,SUPERCADENAS
YUPI PPU,0.15501604393358664,#005CB4,OTROS,SUPERCADENAS
PEPSICO PPU,0.27410484719784767,#005CB4,OTROS,SUPERCADENAS
RAMO PPU,0.41853151510575426,#005CB4,OTROS,SUPERCADENAS
OTROS PPU,-0.49327030081499823,#C9002B,OTROS,SUPERETES
PEPSICO PPU Ratio,-0.006720722071400426,#C9002B,OTROS,SUPERETES
PEPSICO PPU,0.49999102288670283,#005CB4,OTROS,SUPERETES
OTROS TDP Ratio,0.027977915621443583,#005CB4,PEPSICO,DTS
RAMO TDP Ratio,0.03694834272660648,#005CB4,PEPSICO,DTS
OTROS PPU,0.19727283511138757,#005CB4,PEPSICO,DTS
YUPI TDP,0.30252545666690456,#005CB4,PEPSICO,DTS
YUPI PPU,0.4337673012068917,#005CB4,PEPSICO,DTS
YUPI TDP,-0.43075400932393765,#C9002B,PEPSICO,SUPERCADENAS
YUPI TDP Ratio,-0.06924599067605128,#C9002B,PEPSICO,SUPERCADENAS
RAMO TDP Ratio,0.12090749841810959,#005CB4,PEPSICO,SUPERCADENAS
RAMO TDP,0.37909250158187463,#005CB4,PEPSICO,SUPERCADENAS
PEPSICO TDP,-0.4999999999999483,#C9002B,PEPSICO,SUPERETES
COMESTIBLES TDP Ratio,0.10418673890623949,#005CB4,PEPSICO,SUPERETES
COMESTIBLES TDP,0.39581326109367726,#005CB4,PEPSICO,SUPERETES
OTROS PPU Ratio,-0.031875937186447365,#C9002B,RAMO,DTS
COMESTIBLES TDP Ratio,-0.011769995813433007,#C9002B,RAMO,DTS
PEPSICO TDP,0.27207488925268775,#005CB4,RAMO,DTS
YUPI PPU,0.2914346321510414,#005CB4,RAMO,DTS
PEPSICO PPU,0.39284454559639054,#005CB4,RAMO,DTS
COMESTIBLES TDP,-0.4973466359821341,#C9002B,RAMO,SUPERCADENAS
COMESTIBLES TDP Ratio,0.009174095254299375,#005CB4,RAMO,SUPERCADENAS
RAMO TDP,0.4881725407276143,#005CB4,RAMO,SUPERCADENAS
RAMO TDP,-0.2465400212371472,#C9002B,RAMO,SUPERETES
PEPSICO TDP,-0.1636158217113714,#C9002B,RAMO,SUPERETES
OTROS TDP Ratio,-0.08984415705145887,#C9002B,RAMO,SUPERETES
PEPSICO TDP Ratio,0.04855924395506798,#005CB4,RAMO,SUPERETES
OTROS TDP,0.4514407560449172,#005CB4,RAMO,SUPERETES
RAMO TDP Ratio,0.020153166971254747,#005CB4,YUPI,DTS
OTROS PPU,0.22373317768722215,#005CB4,YUPI,DTS
YUPI TDP,0.23732129473158148,#005CB4,YUPI,DTS
PEPSICO PPU,0.5158831187759698,#005CB4,YUPI,DTS
Month,-0.016453583213206346,#C9002B,YUPI,SUPERCADENAS
RAMO PPU Ratio,0.3051911804540919,#005CB4,YUPI,SUPERCADENAS
PEPSICO TDP Ratio,0.6783552363327018,#005CB4,YUPI,SUPERCADENAS
OTROS PPU,-0.49206494244854093,#C9002B,YUPI,SUPERETES
PEPSICO PPU Ratio,-0.007935057551440857,#C9002B,YUPI,SUPERETES
OTROS PPU Ratio,0.021631330126102643,#005CB4,YUPI,SUPERETES
PEPSICO PPU,0.1395236826609457,#005CB4,YUPI,SUPERETES
YUPI PPU,0.338844987212959,#005CB4,YUPI,SUPERETES
