manufacturer,date,avg_price,tdp,sales,units,date_new,channel,SOM
COMESTIBLES,JULIO 2019,1682.0,489,13323.6,7.921284185493461,2019-07-01,DTS,10.98892579283224
COMESTIBLES,JUNIO 2019,1658.2,492,13196.5,7.958328307803642,2019-06-01,DTS,11.361444870324643
OTROS,JULIO 2019,665.3,745,18251.1,27.43288741920938,2019-07-01,DTS,15.052987446152729
OTROS,JUNIO 2019,656.9,759,17300.8,26.33703760085249,2019-06-01,DTS,14.895016512902105
PEPSICO,JULIO 2019,1498.5,2529,74804.9,49.91985318651985,2019-07-01,DTS,61.69695090217632
PEPSICO,JUNIO 2019,1494.5,2479,71541.2,47.86965540314486,2019-06-01,DTS,61.59295265842227
RAMO,JULIO 2019,1062.3,125,3034.3,2.856349430481032,2019-07-01,DTS,2.502604216067044
RAMO,JUNIO 2019,1044.2,120,2708.4,2.593755985443402,2019-06-01,DTS,2.331780190716271
YUPI,JULIO 2019,901.8,652,11831.8,13.1202040363717,2019-07-01,DTS,9.75853164277166
YUPI,JUNIO 2019,907.1,669,11404.7,12.57270422224672,2019-06-01,DTS,9.818805767634712
COMESTIBLES,JULIO 2019,1193.2,761,1660.7,1.3918035534696611,2019-07-01,SUPERCADENAS,4.1355386883417005
COMESTIBLES,JUNIO 2019,1390.5,745,1429.3,1.0279036317871268,2019-06-01,SUPERCADENAS,3.904679167759419
OTROS,JULIO 2019,1892.5,8595,14345.3,7.58007926023778,2019-07-01,SUPERCADENAS,35.72321499721093
OTROS,JUNIO 2019,1930.5,8361,13399.7,6.941051541051541,2019-06-01,SUPERCADENAS,36.606401346271525
PEPSICO,JULIO 2019,1036.3,5751,19124.3,18.454405095049697,2019-07-01,SUPERCADENAS,47.62406367041199
PEPSICO,JUNIO 2019,1069.4,5681,17582.9,16.44183654385637,2019-06-01,SUPERCADENAS,48.03441078765626
RAMO,JULIO 2019,1495.3,864,1158.2,0.7745602889052364,2019-07-01,SUPERCADENAS,2.8841939596780617
RAMO,JUNIO 2019,1548.0,811,991.1,0.6402454780361757,2019-06-01,SUPERCADENAS,2.707568406329224
YUPI,JULIO 2019,690.1,1817,3868.3,5.6054195044196495,2019-07-01,SUPERCADENAS,9.632988684357318
YUPI,JUNIO 2019,723.0,1775,3201.8,4.428492392807746,2019-06-01,SUPERCADENAS,8.746940291983565
COMESTIBLES,JULIO 2019,1779.7,748,2445.0,1.3738270495027252,2019-07-01,SUPERETES,9.798970807483288
COMESTIBLES,JUNIO 2019,1734.6,781,2169.6,1.25077827741266,2019-06-01,SUPERETES,9.450753368268364
OTROS,JULIO 2019,1322.3,1407,5712.6,4.320199652121304,2019-07-01,SUPERETES,22.894724186024145
OTROS,JUNIO 2019,1308.2,1323,5235.4,4.001987463690567,2019-06-01,SUPERETES,22.805343927098168
PEPSICO,JULIO 2019,1465.8,4029,14007.6,9.556283258288987,2019-07-01,SUPERETES,56.139085269080944
PEPSICO,JUNIO 2019,1436.1,3885,13016.9,9.064062391198386,2019-06-01,SUPERETES,56.70147101742831
RAMO,JULIO 2019,1397.7,286,842.6,0.6028475352364598,2019-07-01,SUPERETES,3.376937751486879
RAMO,JUNIO 2019,1384.4,266,756.3,0.5463016469228545,2019-06-01,SUPERETES,3.2944343530703186
YUPI,JULIO 2019,933.2,943,1943.8,2.0829404200600083,2019-07-01,SUPERETES,7.790281985924751
YUPI,JUNIO 2019,879.5,824,1778.7,2.0223990903922684,2019-06-01,SUPERETES,7.747997334134835
COMESTIBLES,ABRIL 2020,1839.529949,188,5896.623,3.2055052994410365,2020-04-01,DTS,7.638373606103617
COMESTIBLES,ABRIL 2021,1810.162307,465,10967.396,6.05879150040218,2021-04-01,DTS,9.61836449664747
COMESTIBLES,ABRIL 2022,2168.517782,518,19137.357,8.825086498645092,2022-04-01,DTS,9.912045432401069
COMESTIBLES,AGOSTO 2019,1641.84372,549,13690.152,8.33827960190998,2019-08-01,DTS,11.281889701641996
COMESTIBLES,AGOSTO 2020,1748.129959,218,7018.75,4.015004699087134,2020-08-01,DTS,8.45932499823311
COMESTIBLES,AGOSTO 2021,1858.885088,461,13601.578,7.317062301378793,2021-08-01,DTS,9.13875248382296
COMESTIBLES,AGOSTO 2022,2445.58242,496,21789.268,8.909643699515962,2022-08-01,DTS,9.81595546388784
COMESTIBLES,DICIEMBRE 2019,1690.00884,457,13409.739,7.934715300069081,2019-12-01,DTS,10.225108115847622
COMESTIBLES,DICIEMBRE 2020,1848.281616,288,11242.557,6.08270779878817,2020-12-01,DTS,9.167401155857265
COMESTIBLES,DICIEMBRE 2021,1984.26641,526,15991.026,8.058910799180438,2021-12-01,DTS,9.571192995643448
COMESTIBLES,ENERO 2020,1699.61853,435,12600.003,7.413430000671974,2020-01-01,DTS,9.690384222489325
COMESTIBLES,ENERO 2021,1859.717678,261,10481.295,5.63596029870078,2021-01-01,DTS,8.951777013095157
COMESTIBLES,ENERO 2022,2009.697552,517,17691.833,8.803231601886331,2022-01-01,DTS,9.846243654867536
COMESTIBLES,FEBRERO 2020,1665.139278,422,12205.916,7.330267300318885,2020-02-01,DTS,10.27455610977409
COMESTIBLES,FEBRERO 2021,1820.580906,353,10717.088,5.886631000402242,2021-02-01,DTS,9.342676165252165
COMESTIBLES,FEBRERO 2022,1998.106393,504,16528.42,8.272041998316151,2022-02-01,DTS,9.64937052972291
COMESTIBLES,JULIO 2020,1823.09387,207,7149.846,3.921819999317973,2020-07-01,DTS,8.418555281686922
COMESTIBLES,JULIO 2021,1839.680889,461,13455.362,7.313965199319957,2021-07-01,DTS,9.172860902416431
COMESTIBLES,JULIO 2022,2433.225808,498,21742.534,8.935682799563663,2022-07-01,DTS,9.83137343283043
COMESTIBLES,JUNIO 2020,1820.087828,193,6485.213,3.5631318995887487,2020-06-01,DTS,8.681764077590385
COMESTIBLES,JUNIO 2021,1824.808164,405,11319.7,6.203227398537658,2021-06-01,DTS,8.910181463488234
COMESTIBLES,JUNIO 2022,2355.308239,506,21478.228,9.11907309810077,2022-06-01,DTS,10.216491910444203
COMESTIBLES,MARZO 2020,1668.997248,389,11063.719,6.628961799222811,2020-03-01,DTS,9.423627962345074
COMESTIBLES,MARZO 2021,1818.603936,434,11218.776,6.168894599819012,2021-03-01,DTS,9.539442116436238
COMESTIBLES,MARZO 2022,2044.202341,549,18565.896,9.082220300617491,2022-03-01,DTS,9.7426346835613
COMESTIBLES,MAYO 2020,1860.527557,168,5550.534,2.983311899421654,2020-05-01,DTS,8.16988042521152
COMESTIBLES,MAYO 2021,1874.807292,440,10912.026,5.820345401131499,2021-05-01,DTS,9.39882673774478
COMESTIBLES,MAYO 2022,2224.499122,524,20652.291,9.284018499154076,2022-05-01,DTS,10.17043166536123
COMESTIBLES,NOVIEMBRE 2019,1680.566797,447,12186.373,7.2513469989732275,2019-11-01,DTS,10.029655382420676
COMESTIBLES,NOVIEMBRE 2020,1780.773283,272,10002.486,5.616934000239041,2020-11-01,DTS,9.209781163139397
COMESTIBLES,NOVIEMBRE 2021,1924.39169,526,15521.542,8.065687500448519,2021-11-01,DTS,9.794648398820218
COMESTIBLES,OCTUBRE 2019,1653.384116,449,12792.968,7.737444599957679,2019-10-01,DTS,10.071676537217783
COMESTIBLES,OCTUBRE 2020,1795.216498,280,10228.388,5.6975791005681815,2020-10-01,DTS,9.292661330057731
COMESTIBLES,OCTUBRE 2021,1850.212761,547,14812.126,8.005633899095132,2021-10-01,DTS,9.334435987289671
COMESTIBLES,SEPTIEMBRE 2019,1639.347795,485,12337.502,7.525860002147989,2019-09-01,DTS,10.43703952835942
COMESTIBLES,SEPTIEMBRE 2020,1836.33394,214,7665.175,4.174172699765055,2020-09-01,DTS,7.988777113527603
COMESTIBLES,SEPTIEMBRE 2021,1850.926476,486,13821.156,7.467155599755979,2021-09-01,DTS,9.161099466411256
OTROS,ABRIL 2020,655.013193,245,9234.436,14.098091608973132,2020-04-01,DTS,11.962113265449236
OTROS,ABRIL 2021,687.210918,624,15286.853,22.244776093618466,2021-04-01,DTS,13.406511824745712
OTROS,ABRIL 2022,894.81428,892,26953.865,30.122300909189786,2022-04-01,DTS,13.96054504594365
OTROS,AGOSTO 2019,658.09521,737,17690.938,26.882034288017383,2019-08-01,DTS,14.57888935306102
OTROS,AGOSTO 2020,696.66357,267,9733.517,13.971617605898352,2020-08-01,DTS,11.731288858960204
OTROS,AGOSTO 2021,715.092438,759,21478.804,30.03640209099792,2021-08-01,DTS,14.43137505108205
OTROS,AGOSTO 2022,1004.380109,968,32692.335,32.54976348799835,2022-08-01,DTS,14.72773221984794
OTROS,DICIEMBRE 2019,662.187645,763,19296.718,29.14086082050051,2019-12-01,DTS,14.714009559099017
OTROS,DICIEMBRE 2020,667.099831,353,15579.042,23.353389217093056,2020-12-01,DTS,12.703455952053329
OTROS,DICIEMBRE 2021,768.90169,847,23758.847,30.89972009295493,2021-12-01,DTS,14.220507801748578
OTROS,ENERO 2020,672.777865,775,18087.041,26.88412021403231,2020-01-01,DTS,13.910344048165506
OTROS,ENERO 2021,631.630754,329,13468.601,21.32353580744107,2021-01-01,DTS,11.503150405589238
OTROS,ENERO 2022,769.67826,853,24246.277,31.50183428592617,2022-01-01,DTS,13.494065372729365
OTROS,FEBRERO 2020,660.741568,745,18129.012,27.437371701730136,2020-02-01,DTS,15.260431991238333
OTROS,FEBRERO 2021,673.040065,485,16434.549,24.41838139308988,2021-02-01,DTS,14.326901974581975
OTROS,FEBRERO 2022,822.017677,871,24385.256,29.66512361266411,2022-02-01,DTS,14.236228907914295
OTROS,JULIO 2020,706.335735,249,9809.925,13.88847330512026,2020-07-01,DTS,11.55065380732712
OTROS,JULIO 2021,698.622757,698,19922.801,28.51725169324824,2021-07-01,DTS,13.581877794110854
OTROS,JULIO 2022,999.305225,951,32255.529,32.27795491612685,2022-07-01,DTS,14.58505944488768
OTROS,JUNIO 2020,661.702597,220,8553.671,12.926760509600964,2020-06-01,DTS,11.450811811320095
OTROS,JUNIO 2021,709.855676,653,17324.507,24.405675105146305,2021-06-01,DTS,13.636801428966509
OTROS,JUNIO 2022,981.275614,938,30480.898,31.06252470266728,2022-06-01,DTS,14.498768140466476
OTROS,MARZO 2020,686.346599,669,17521.98,25.52934628878376,2020-03-01,DTS,14.924513238600072
OTROS,MARZO 2021,681.344859,641,17131.986,25.14436819138016,2021-03-01,DTS,14.567506186646028
