Manufacturer,Channel,Training Upto,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,Overall WAPE
COMESTIBLES,DTS,October 2021,1.4134240457331013,1.482899177972916,5.480925616336995,0.7881165102082434,9.639929076929892,19.120718743432352,22.75841555252424,22.28336158316488,17.304225932895232,15.517323514018736,8.46729071775335,12.094087507202469
COMESTIBLES,SUPERCADENAS,October 2021,5.964712347543758,3.5517503984506504,4.786877763456953,18.833734920143332,14.702128051954594,0.6179952402071615,6.4231493633164956,5.633324358779313,12.38131791224012,0.30084310264116443,4.814150477510155,6.910093450964163
COMESTIBLES,SUPERETES,October 2021,12.240859031673825,22.415921178999437,18.464089494516944,23.40193830568134,17.237785869057486,8.045314920821044,1.667888668958977,4.926950551077622,2.606232222625804,15.080898641355539,17.36286111264699,12.133483106498929
OTROS,DTS,October 2021,0.4741803056200469,2.1733344630293443,2.9170960401665185,2.8184009307931346,3.329857284194377,16.379606218975617,16.693044435448915,16.495063792759368,14.00436360346869,13.325495645188145,5.837175540069241,9.12261546017475
OTROS,SUPERCADENAS,October 2021,1.5776686175167038,3.0406597042268912,6.66029582186697,1.771528993944106,1.625085239651545,2.9180344231385695,7.070080597805099,7.87282421214582,17.587911247711006,16.965937835075778,14.008950375367009,8.227027231767979
OTROS,SUPERETES,October 2021,3.74231397350341,0.34726072347408365,1.818136246614933,11.193923617012443,3.6838976165679633,5.318410071150517,0.4671901547596607,5.5732707734007425,5.174734709871917,7.7060055495421285,7.595798860278891,4.8868173095320975
PEPSICO,DTS,October 2021,1.4617824066153593,3.573059804727709,1.6992348928877765,5.118958188047532,1.1731941258851184,11.13911793857706,12.89680053612336,9.425811956116766,5.5717030726299654,3.1510636772005323,6.293282763347302,5.734407608094166
PEPSICO,SUPERCADENAS,October 2021,3.8521302056934354,2.589208868018143,0.7399330032149256,4.876858318616636,1.358203278786211,6.848794877538356,6.343788080650462,2.4687657116777673,2.9499536859567552,3.9591916748137366,0.6209551191542881,3.3264629072799665
PEPSICO,SUPERETES,October 2021,1.5453693941320361,0.05741622203837645,0.6062528193147696,4.769669813120636,3.105079165155474,2.567374796521352,3.2144828364402476,0.299455460976045,2.474803018696405,0.30058094993911033,3.515458248030865,2.0372500134011613
RAMO,DTS,October 2021,4.376593944480407,7.289449492180443,12.54409666005841,11.253206791111374,18.127980918469433,23.016570523228964,27.410949086690408,31.502747148161827,31.452422425375172,33.78913325614182,28.620169860987374,22.14990853457294
RAMO,SUPERCADENAS,October 2021,0.7471660446470308,3.8026762591634338,13.314661407817356,13.15365612401519,13.337884480754903,1.2303084865414973,7.495081398803272,4.251633020305363,11.818543141934553,11.787105923067035,11.83725692386738,8.730933915545378
RAMO,SUPERETES,October 2021,1.8910267243129864,1.8196392061174032,3.9055272112142236,4.100763926649933,10.070349270298525,7.391744111865295,5.122934146762527,4.541134693643551,3.1304611667980167,9.438604494699572,7.639070606214712,5.559672526851576
YUPI,DTS,October 2021,0.031551789757102024,0.2990186599853319,5.89315108366684,8.167786578713208,17.38278902012434,30.05878040864759,31.624256591271358,30.057430244305053,28.542661420568727,28.130049671929545,16.270097471081428,19.3522895299047
YUPI,SUPERCADENAS,October 2021,14.326000756779733,14.389157022433118,21.75433614771652,7.054786239700871,19.036110583931222,14.351334794962503,5.373550914598156,17.149145987922495,16.578176241830864,16.857133363562745,16.21186000192316,15.037973555754286
YUPI,SUPERETES,October 2021,7.822887460117431,4.350935761844153,7.251021076206769,13.602040257529392,10.11177915043307,3.9495628421413844,7.616155447937213,2.6758545624221592,5.602491350251767,9.253819368160858,6.59785660106558,7.085118059425946
COMESTIBLES,DTS,November 2021,,3.4137252981767263,9.262447254617513,1.7139188137766013,4.830145014277883,14.36050286358778,16.381498304473904,17.51118248674898,12.18532163730325,10.317610027101475,4.368446491756459,9.798907655898727
COMESTIBLES,SUPERCADENAS,November 2021,,7.924474751746966,1.6518457686506574,3.5534557725982117,6.936846080567212,10.847373217570459,19.56451260084439,19.60324515455394,26.993617502393075,15.95351636772298,24.51417621480034,15.246708727996031
COMESTIBLES,SUPERETES,November 2021,,7.289399333915593,7.539036364414543,5.52216641551635,3.0617686107681052,6.037513524912709,14.975112537798157,20.66964031897015,15.110010046001676,4.817183747943032,4.6494808306116,9.480568949928397
OTROS,DTS,November 2021,,1.355511766487157,1.3589053967612479,0.7034456941248408,3.9802263008383307,12.098717444294838,17.113922235320143,19.645434877498285,18.808359852559477,19.795288304327844,16.03899099542768,11.946683657590144
OTROS,SUPERCADENAS,November 2021,,8.275894900875121,8.831855360139752,7.694308057314791,9.176105480456243,5.891841946458429,12.951149967624463,16.796680354547323,22.70898527265568,23.81608581380529,20.19915756254358,14.511828000832283
